height weight IQ limbo GPA T1 T2
161.32 46.5 61.08 4.51 2.57 43.2 56.4
165.24 47.26 124.04 3.88 4.02 87.58 82.53
157.09 43.8 82.26 5.41 2.7 53.99 51.17
145.75 38.12 93.94 6.6 3.28 69.3 77.96
157.04 45.05 113.9 2.91 3.19 77.72 68.83
166.12 48.19 96.6 3.46 3.28 79.01 82.83
141.74 39.33 114.15 5.69 4.01 91.17 96.28
160.37 50.74 119.4 1.71 3.51 76.56 77.14
156.06 41.55 81.7 7.15 3.1 62.12 69.85
144.43 43.01 92.13 6.01 2.91 73.75 72.56
149.06 44.79 80.13 2.84 2.61 57.82 55.6
149.62 40.72 106.82 5.77 3.46 75.98 77.8
152.46 44.46 103.71 4.06 3.54 77.44 77.81
154.52 41.31 108.13 4.35 3.2 80.52 70.78
155.46 47.91 116.15 3.84 2.83 72.94 63.64
158.1 44.26 121.34 3.09 3.09 82.48 70.64
163.83 47.58 80.21 4.34 3.17 56.03 65.68
164.9 46.1 105.35 4.25 3.71 79.14 77.82
150.17 43.33 89.01 6.32 3.11 75.39 71.73
153.38 47.29 73.73 4.53 2.41 56.58 58.92
159.87 46.42 91.53 5.52 3.04 78.89 78.51
143.4 44.32 90.73 4.86 2.45 49.02 50.08
157.32 48.72 124.98 6.06 3.72 80.07 79.29
160.08 49.09 88.61 2.16 2.91 60.09 55.98
151.55 43.15 115.38 8.36 3.77 79.79 78.6
149.78 34.17 109.8 8.41 3.72 82.49 81.86
155.6 46.24 89.26 5.6 2.88 62.18 60.92
142.88 41.94 100.77 8.02 2.56 54.71 40.45
167.19 45.1 88.72 5.9 3.19 71.68 67.4
142.27 43.47 100.36 7.59 2.82 73.95 71.88
153.39 42.83 115.01 2.53 3.02 75.35 68.92
150.71 40.92 90.19 7.58 3.44 64.2 65.93
148.26 43.02 103.77 2.56 3.33 74.68 75.94
151.99 44.21 104.24 4.89 2.58 63.73 52.48
155.62 48.43 76.94 2.82 2.85 60.6 62.55
152.96 39.99 86.94 4.66 2.9 66.31 74.8
152.71 45.1 72.28 3.57 2.61 63.42 61.37
150.93 42.39 109.54 6.7 3.49 68.8 68.89
153.92 40.56 84.38 3.39 2.42 59.02 58.16
161.81 44.16 110.01 3.09 3.07 68.78 68.72
