condition rt
1 284
1 375
1 479
1 312
1 356
1 604
1 512
1 611
1 380
1 648
1 397
1 289
1 411
1 349
1 392
1 455
1 287
1 453
1 478
1 490
1 295
1 386
1 395
1 397
1 413
1 352
1 396
1 349
1 328
1 351
1 406
1 339
1 539
1 598
1 632
1 499
1 352
1 519
1 404
1 332
1 1001
1 389
1 459
1 364
1 560
1 507
1 414
1 271
1 339
1 720
1 416
1 371
1 492
1 484
1 561
1 291
1 335
1 328
1 629
1 265
1 790
1 380
1 340
1 553
1 813
1 374
1 471
1 330
1 430
1 340
1 458
1 556
1 571
1 436
1 405
1 303
1 444
1 791
1 392
1 387
1 523
1 275
1 552
1 401
1 554
1 288
1 514
1 355
1 588
1 313
1 290
1 465
1 377
1 456
1 265
1 443
1 438
1 349
1 304
1 394
1 363
1 646
1 278
1 439
1 304
1 421
1 368
1 452
1 520
1 600
1 578
1 424
1 739
1 537
1 681
1 497
1 433
1 472
1 645
1 365
1 311
1 361
1 388
1 567
1 351
1 367
1 378
1 451
1 358
1 570
1 604
1 552
1 474
1 301
1 366
1 474
1 563
1 316
1 269
1 316
1 479
1 327
1 475
1 472
1 541
1 509
1 368
1 423
1 457
1 466
1 498
1 334
1 565
1 505
1 299
1 414
1 426
1 487
1 406
1 398
1 351
1 270
1 746
1 316
1 357
1 279
1 372
1 474
1 384
1 341
1 394
1 360
1 396
1 438
1 400
1 439
1 447
1 480
1 425
1 370
1 429
1 339
1 332
1 310
1 439
1 412
1 394
1 391
1 915
1 351
1 289
1 338
1 295
1 448
1 280
1 453
1 375
1 372
1 406
1 333
1 536
1 384
1 311
1 277
1 432
1 671
1 528
1 468
1 322
1 527
1 381
1 487
1 464
1 274
1 427
1 345
1 310
1 325
1 322
1 322
1 393
1 411
1 414
1 427
1 718
1 289
1 410
1 444
1 490
1 501
1 452
1 417
1 400
1 683
1 467
1 338
1 472
1 304
1 324
1 445
1 634
1 327
1 478
1 505
1 284
1 536
1 360
1 518
1 376
1 692
1 705
1 310
1 446
1 503
1 348
1 341
1 447
1 475
1 466
1 390
1 499
1 329
1 532
1 348
1 570
1 309
1 340
1 308
1 381
1 406
1 356
1 495
1 366
1 343
1 331
1 359
1 544
1 492
1 334
1 300
1 527
1 333
1 414
1 349
1 389
1 375
1 403
1 351
1 393
1 428
1 296
1 322
1 402
1 339
1 397
1 318
1 476
1 337
1 621
1 295
1 558
1 399
1 505
1 388
1 330
1 321
1 380
1 417
1 477
1 777
1 282
1 436
1 329
1 345
1 520
1 338
1 377
1 504
1 428
1 254
1 962
1 432
1 467
1 262
1 430
1 681
1 419
1 323
1 429
1 276
1 435
1 379
1 541
1 312
1 369
1 338
1 384
1 487
1 465
1 421
1 516
1 321
1 402
1 294
1 296
1 362
1 544
1 385
1 486
1 310
1 574
1 689
1 291
1 483
1 323
1 469
1 283
1 684
1 436
1 563
1 600
1 279
1 353
1 304
1 581
1 345
1 381
1 318
1 417
1 325
1 546
1 510
1 376
1 410
1 385
1 256
1 337
1 442
1 545
1 324
1 613
1 737
1 397
1 345
1 349
1 355
1 377
1 380
1 412
1 372
1 376
1 549
1 316
1 569
1 327
1 341
1 428
1 418
1 334
1 400
1 478
1 359
1 405
1 345
1 589
1 298
1 296
1 418
1 595
1 363
1 358
1 410
1 282
1 450
1 317
1 473
1 636
1 323
1 319
1 412
1 416
1 451
1 313
1 555
1 412
1 366
1 394
1 398
1 391
1 344
1 373
1 394
1 678
1 326
1 520
1 307
1 455
1 499
1 570
1 985
1 324
1 354
1 432
1 404
1 717
1 326
1 657
1 486
1 331
1 626
1 532
1 319
1 364
1 483
1 376
1 632
1 364
1 400
1 291
1 366
1 396
1 372
1 304
1 476
1 374
1 380
1 371
1 435
1 369
1 415
1 503
1 382
1 461
1 306
1 441
1 440
1 573
1 340
1 446
1 339
1 429
1 572
1 359
1 323
1 347
1 462
1 301
1 336
1 278
1 716
1 297
1 393
1 606
1 751
1 308
1 286
1 425
1 357
1 498
1 337
1 335
1 313
1 262
1 389
1 636
1 301
1 429
1 414
1 295
1 304
1 263
1 408
1 376
1 442
1 502
1 393
1 409
1 302
1 505
1 339
1 298
1 371
1 473
1 348
1 480
1 608
1 372
1 589
1 365
1 418
1 317
1 556
1 443
1 289
1 526
1 409
1 323
1 389
1 317
1 527
1 345
1 383
1 309
1 590
1 504
1 331
1 683
1 358
1 344
1 402
1 303
1 405
1 450
1 325
1 389
1 324
1 544
1 467
1 346
1 539
1 384
1 275
1 291
1 389
1 384
1 333
1 499
1 413
1 323
1 498
1 444
1 509
1 332
1 260
1 360
1 304
1 347
1 278
1 571
1 587
1 319
1 269
1 306
1 537
1 539
1 290
1 395
1 359
1 402
1 433
1 390
1 398
1 412
1 614
1 491
1 380
1 312
1 633
1 309
1 565
1 375
1 402
1 407
1 331
1 465
1 449
1 632
1 424
1 578
1 286
1 598
1 393
1 239
1 297
1 474
1 521
1 287
1 462
1 447
1 320
1 451
1 418
1 481
1 333
1 341
1 317
1 327
1 427
1 552
1 330
1 379
1 343
1 670
1 282
1 448
1 418
1 449
1 359
1 521
1 267
1 646
1 334
1 280
1 425
1 480
1 304
1 491
1 378
1 672
1 479
1 333
1 346
1 317
1 305
1 281
1 498
1 261
1 467
1 342
1 433
1 355
1 465
1 475
1 775
1 300
1 750
1 554
1 841
1 341
1 379
1 323
1 480
1 363
1 355
1 640
1 267
1 481
1 496
1 337
1 448
1 335
1 410
1 326
1 277
1 288
1 448
1 299
1 520
1 443
1 468
1 505
1 425
1 277
1 305
1 415
1 367
1 369
1 455
1 614
1 340
1 603
1 361
1 321
1 455
1 300
1 408
1 380
1 706
1 550
1 405
1 309
1 433
1 672
1 371
1 453
1 282
1 607
1 323
1 377
1 580
1 444
1 397
1 293
1 351
1 401
1 524
1 368
1 260
1 339
1 439
1 350
1 439
1 351
1 314
1 352
1 393
1 483
1 315
1 343
1 383
1 678
1 353
1 269
1 587
1 326
1 744
1 317
1 416
1 345
1 275
1 501
1 330
1 329
1 434
1 576
1 514
1 343
1 790
1 404
1 358
1 607
1 358
1 365
1 538
1 368
1 632
1 423
1 1133
1 537
1 353
1 556
1 465
1 527
1 359
1 612
1 548
1 373
1 371
1 388
1 325
1 483
1 365
1 354
1 341
1 378
1 482
1 334
1 411
1 356
1 696
1 587
1 513
1 401
1 861
1 272
1 314
1 392
1 285
1 376
1 373
1 351
1 321
1 508
1 675
1 367
1 327
1 657
1 453
1 440
1 353
1 320
1 382
1 379
1 447
1 523
1 349
1 295
1 544
1 451
1 305
1 498
1 521
1 323
1 381
1 393
1 312
1 399
1 291
1 328
1 436
1 430
1 475
1 340
1 448
1 312
1 406
1 519
1 347
1 392
1 403
1 335
1 265
1 299
1 465
1 721
1 344
1 304
1 315
1 465
1 399
1 521
1 367
1 418
1 344
1 416
1 410
1 394
1 341
1 365
1 428
1 274
1 408
1 426
1 468
1 508
1 463
1 396
1 329
1 365
1 405
1 360
1 388
1 316
1 508
1 528
1 279
1 325
1 304
1 399
1 601
1 403
1 289
1 312
1 290
1 517
1 424
1 403
1 319
1 450
1 637
1 384
1 444
1 342
1 474
1 309
1 460
1 418
1 482
1 479
1 296
1 326
1 381
1 400
1 390
1 419
1 437
1 397
1 389
1 826
1 459
1 400
1 384
1 371
1 473
1 441
1 507
1 472
1 270
1 466
1 630
1 417
1 278
1 557
1 530
1 477
1 547
1 597
1 335
1 709
1 374
1 327
1 388
1 774
1 300
1 255
1 464
1 503
1 606
1 494
1 331
1 388
1 339
1 307
1 545
1 357
1 340
1 414
1 490
1 584
1 453
1 457
1 413
1 389
1 640
1 413
1 308
1 401
1 286
1 715
1 377
1 341
1 509
1 422
1 1018
1 405
1 753
1 460
1 769
1 310
1 411
1 313
1 544
1 339
1 494
1 406
1 343
1 360
1 348
1 495
1 560
1 798
1 368
1 328
1 675
1 328
1 295
1 308
1 372
1 365
1 344
1 566
1 442
1 338
1 477
1 354
1 350
1 315
1 287
1 317
1 494
1 523
1 636
1 693
1 367
1 315
1 389
1 395
1 490
1 241
1 519
1 422
1 289
1 504
1 422
1 360
1 345
1 515
1 303
1 359
1 390
1 341
1 520
1 421
1 456
1 405
1 498
1 316
1 364
1 365
1 285
1 446
1 440
1 401
1 514
1 301
1 370
1 780
1 296
1 318
1 457
1 645
1 299
1 399
1 477
1 351
1 508
1 443
1 350
1 525
1 482
1 383
1 519
1 324
1 376
1 440
1 420
1 365
1 304
1 386
1 334
1 425
1 354
1 442
1 390
1 392
1 414
1 376
1 462
1 420
1 383
1 311
1 332
1 910
1 489
1 432
1 302
1 330
1 448
1 330
1 299
1 334
1 464
1 394
1 419
1 466
1 609
1 472
1 410
1 347
1 631
1 423
1 410
1 240
1 627
1 309
1 450
1 340
1 653
1 315
1 310
1 565
1 631
1 407
1 404
1 379
1 528
1 291
1 549
1 436
1 383
1 455
1 434
1 346
1 423
1 357
1 323
1 332
1 281
1 325
1 453
1 280
1 317
1 346
1 348
1 460
1 361
1 468
1 323
1 474
1 340
1 714
1 420
1 453
1 741
1 498
1 603
1 378
1 424
1 559
1 406
1 505
1 477
1 580
1 355
1 361
1 253
1 253
1 548
1 284
1 359
1 352
1 710
1 326
1 285
1 325
1 421
1 376
1 369
1 399
1 310
1 352
1 383
1 321
1 309
1 468
1 319
1 476
1 397
1 568
1 369
1 323
1 421
1 390
1 281
1 403
1 426
1 403
1 321
1 342
1 304
1 407
1 307
1 444
1 477
1 315
1 289
1 482
1 520
1 306
1 383
1 728
1 323
1 585
1 580
1 392
1 660
1 869
1 417
1 345
1 330
1 468
1 713
1 326
1 377
1 333
1 310
1 525
1 441
1 499
1 289
1 602
1 392
1 418
1 396
1 322
1 544
1 373
1 379
1 351
1 799
1 778
1 436
1 509
1 457
1 404
1 268
1 297
1 325
1 372
1 637
1 298
1 516
1 429
1 478
1 525
1 360
1 466
1 583
1 419
1 403
1 325
1 392
1 417
1 442
1 374
1 378
1 362
1 347
1 1231
1 393
1 312
1 504
1 310
1 452
1 309
1 431
1 540
1 512
1 311
1 498
1 257
1 352
1 311
1 481
1 353
1 500
1 411
1 336
1 512
1 328
1 507
1 425
1 555
1 605
1 418
1 377
1 353
1 353
1 379
1 372
1 548
1 462
1 341
1 892
1 869
1 357
1 359
1 438
1 407
1 343
1 344
1 564
1 451
1 272
1 281
1 544
1 659
1 420
1 337
1 599
1 324
1 384
1 413
1 618
1 574
1 375
1 281
1 421
1 479
1 278
1 308
1 312
1 713
1 320
1 420
1 327
1 454
1 327
1 346
1 323
1 581
1 510
1 373
1 476
1 345
1 381
1 337
1 340
1 380
1 407
1 439
1 423
1 303
1 315
1 354
1 501
1 340
1 692
1 588
1 358
1 399
1 262
1 579
1 459
1 402
1 433
1 387
1 254
1 249
1 383
1 329
1 506
1 380
1 487
1 358
1 355
1 291
1 317
1 396
1 404
1 731
1 293
1 549
1 385
1 416
1 283
1 320
1 453
1 321
1 385
1 453
1 558
1 329
1 394
1 328
1 403
1 411
1 299
1 421
1 320
1 595
1 470
1 280
1 323
1 473
1 283
1 289
1 264
1 255
1 393
1 457
1 351
1 340
1 366
1 381
1 454
1 428
1 348
1 442
1 572
1 395
1 395
1 335
1 281
1 502
1 401
1 364
1 366
1 358
1 474
1 385
1 362
1 386
1 735
1 369
1 301
1 564
1 402
1 417
1 505
1 606
1 418
1 534
1 314
1 434
1 433
1 538
1 377
1 374
1 461
1 334
1 431
1 338
1 452
1 440
1 346
1 790
1 263
