condition rt
1 464
1 517
1 520
1 488
1 410
1 873
1 548
1 491
1 373
1 674
1 805
1 395
1 446
1 426
1 594
1 695
1 344
1 751
1 368
1 586
1 561
1 549
1 494
1 672
1 614
1 400
1 644
1 370
1 394
1 429
1 797
1 533
1 437
1 348
1 470
1 630
1 580
1 629
1 498
1 613
1 406
1 620
1 325
1 511
1 421
1 462
1 618
1 571
1 548
1 576
1 388
1 308
1 390
1 720
1 365
1 620
1 260
1 552
1 605
1 765
1 518
1 390
1 308
1 614
1 517
1 602
1 490
1 422
1 318
1 588
1 706
1 653
1 512
1 401
1 438
1 623
1 497
1 493
1 382
1 649
1 413
1 540
1 687
1 353
1 581
1 473
1 620
1 418
1 620
1 427
1 382
1 451
1 723
1 386
1 425
1 370
1 469
1 430
1 368
1 562
1 506
1 380
1 843
1 413
1 367
1 363
1 630
1 586
1 400
1 599
1 611
1 477
1 562
1 574
1 507
1 556
1 763
1 862
1 488
1 299
1 660
1 541
1 402
1 456
1 626
1 490
1 492
1 377
1 564
1 452
1 656
1 491
1 719
1 656
1 324
1 539
1 628
1 483
1 469
1 312
1 932
1 404
1 301
1 504
1 297
1 503
1 525
1 491
1 441
1 522
1 464
1 499
1 589
1 602
1 310
1 505
1 577
1 713
1 549
1 650
1 425
1 331
1 495
1 456
1 318
1 561
1 530
1 401
1 450
1 549
1 511
1 454
1 410
1 740
1 1600
1 532
1 1278
1 636
1 448
1 673
1 414
1 636
1 415
1 614
1 561
1 599
1 428
1 694
1 481
1 592
1 539
1 444
1 403
1 322
1 629
1 315
1 621
1 456
1 318
1 536
1 404
1 709
1 437
1 406
1 350
1 596
1 420
1 424
1 484
1 417
1 369
1 709
1 800
1 451
1 428
1 558
1 523
1 644
1 537
1 620
1 344
1 558
1 711
1 397
1 486
1 397
1 418
1 601
1 711
1 787
1 752
1 451
1 361
1 399
1 448
1 330
1 433
1 503
1 512
1 655
1 420
1 305
1 406
1 506
1 658
1 413
1 567
1 669
1 348
1 805
1 409
1 628
1 324
1 568
1 380
1 515
1 276
1 352
1 532
1 544
1 440
1 477
1 610
1 663
1 477
1 656
1 406
1 610
1 385
1 624
1 744
1 650
1 471
1 448
1 780
1 589
1 495
1 676
1 493
1 521
1 726
1 464
1 727
1 520
1 473
1 482
1 397
1 597
1 320
1 443
1 548
1 673
1 305
1 389
1 407
1 517
1 736
1 358
1 482
1 629
1 426
1 483
1 709
1 334
1 563
1 344
1 680
1 501
1 931
1 338
1 352
1 601
1 503
1 1059
1 379
1 954
1 561
1 351
1 409
1 378
1 536
1 355
1 452
1 376
1 469
1 515
1 796
1 293
1 611
1 808
1 847
1 534
1 348
1 399
1 432
1 638
1 621
1 544
1 711
1 541
1 629
1 444
1 392
1 1545
1 452
1 724
1 965
1 418
1 516
1 507
1 504
1 515
1 486
1 383
1 775
1 560
1 479
1 605
1 459
1 700
1 553
1 384
1 323
1 429
1 324
1 366
1 428
1 464
1 599
1 677
1 412
1 371
1 438
1 573
1 510
1 384
1 396
1 636
1 480
1 1216
1 502
1 435
1 603
1 412
1 698
1 530
1 382
1 634
1 668
1 710
1 391
1 488
1 430
1 417
1 489
1 575
1 427
1 306
1 671
1 455
1 1135
1 545
1 567
1 319
1 546
1 960
1 577
1 559
1 276
1 453
1 555
1 778
1 495
1 433
1 446
1 484
1 711
1 739
1 524
1 488
1 601
1 492
1 521
1 696
1 394
1 592
1 478
1 400
1 457
1 341
1 335
1 484
1 375
1 493
1 417
1 373
1 623
1 951
1 717
1 364
1 360
1 505
1 621
1 540
1 342
1 745
1 706
1 355
1 516
1 830
1 689
1 585
1 352
1 694
1 434
1 466
1 557
1 302
1 371
1 1116
1 432
1 506
1 371
1 339
1 449
1 503
1 1006
1 561
1 423
1 490
1 378
1 433
1 659
1 415
1 412
1 576
1 614
1 372
1 618
1 647
1 406
1 484
1 391
1 303
1 814
1 455
1 384
1 722
1 682
1 603
1 357
1 2241
1 504
1 724
1 333
1 581
1 532
1 683
1 508
1 726
1 771
1 357
1 281
1 561
1 548
1 356
1 547
1 468
1 390
1 715
1 408
1 496
1 436
1 502
1 316
1 440
1 377
1 525
1 319
1 667
1 931
1 392
1 465
1 885
1 439
1 737
1 429
1 459
1 351
1 525
1 672
1 581
1 511
1 514
1 498
1 497
1 735
1 568
1 679
1 348
1 491
1 377
1 373
1 350
1 617
1 596
1 425
1 368
1 335
1 422
1 571
1 509
1 521
1 593
1 443
1 422
1 521
1 615
1 302
1 742
1 659
1 589
1 518
1 354
1 802
1 530
1 428
1 974
1 626
1 550
1 670
1 546
1 703
1 419
1 802
1 447
1 725
1 612
1 1049
1 394
1 427
1 547
1 543
1 484
1 509
1 732
1 505
1 1347
1 606
1 423
1 539
1 371
1 495
1 298
1 417
1 495
1 576
1 816
1 596
1 870
1 470
1 386
1 674
1 376
1 529
1 409
1 452
1 487
1 597
1 344
1 481
1 543
1 506
1 280
1 476
1 792
1 556
1 598
1 648
1 524
1 351
1 403
1 442
1 533
1 629
1 343
1 618
1 451
1 670
1 675
1 327
1 633
1 300
1 699
1 375
1 440
1 348
1 448
1 479
1 526
1 404
1 571
1 560
1 936
1 400
1 617
1 303
1 1114
1 703
1 803
1 840
1 568
1 491
1 383
1 573
1 637
1 419
1 345
1 605
1 412
1 513
1 440
1 358
1 542
1 551
1 448
1 535
1 455
1 421
1 383
1 712
1 457
1 487
1 429
1 337
1 1084
1 511
1 697
1 392
1 588
1 599
1 496
1 439
1 383
1 593
1 443
1 441
1 707
1 536
1 310
1 392
1 582
1 657
1 443
1 520
1 471
1 595
1 689
1 322
1 549
1 1000
1 676
1 513
1 364
1 626
1 393
1 416
1 676
1 574
1 348
1 1000
1 463
1 529
1 600
1 432
1 410
1 341
1 660
1 948
1 487
1 673
1 444
