course question score
1 1 5.18
1 2 5.72
1 3 5.74
1 4 5.66
1 5 5.78
1 6 5.82
1 7 5.42
1 8 5.63
1 9 5.95
1 10 5.59
1 11 5.33
1 12 5.9
1 13 5.3
1 14 5.78
1 15 5.27
1 16 6.07
1 17 5.83
1 18 5.46
2 1 4.1
2 2 4.05
2 3 4.4
2 4 4
2 5 4.1
2 6 4.55
2 7 3.85
2 8 4.13
2 9 4.7
2 10 4.2
2 11 4.16
2 12 4.4
2 13 3.95
2 14 6
2 15 4.28
2 16 4.9
2 17 5
2 18 3.75
3 1 4.75
3 2 5.25
3 3 5.5
3 4 4.78
3 5 5.13
3 6 5.26
3 7 4.62
3 8 4.86
3 9 5.5
3 10 4.92
3 11 4.62
3 12 4.66
3 13 4.58
3 14 4.57
3 15 4.53
3 16 6
3 17 5.83
3 18 5.26
4 1 5.25
4 2 4.92
4 3 5.5
4 4 5
4 5 5.08
4 6 5.08
4 7 4.36
4 8 5
4 9 5.82
4 10 5
4 11 4
4 12 5.25
4 13 4.17
4 14 4.5
4 15 3.83
4 16 5.75
4 17 5.82
4 18 4.36
5 1 4.55
5 2 4.4
5 3 4.8
5 4 3.8
5 5 4.45
5 6 4.9
5 7 4.06
5 8 4.53
5 9 4.85
5 10 4.35
5 11 4.1
5 12 4.83
5 13 4.16
5 14 4.75
5 15 4.4
5 16 5.45
5 17 5.06
5 18 4.56
6 1 4.75
6 2 4.46
6 3 5.54
6 4 4.71
6 5 5.18
6 6 5.36
6 7 4.5
6 8 5.3
6 9 5.59
6 10 5.11
6 11 4.68
6 12 5.88
6 13 4.56
6 14 6.5
6 15 4.96
6 16 5.75
6 17 5.41
6 18 5.07
7 1 5.6
7 2 5.3
7 3 5.9
7 4 5.2
7 5 5.3
7 6 5.4
7 7 5.2
7 8 5.22
7 9 5.1
7 10 5.6
7 11 4.78
7 12 4.78
7 13 4.2
7 14 4.8
7 15 5
7 16 5.9
7 17 5.56
7 18 5
8 1 3.93
8 2 3.86
8 3 4.38
8 4 3.5
8 5 4.58
8 6 4.5
8 7 3.71
8 8 4.67
8 9 4.54
8 10 4.07
8 11 3.77
8 12 4.15
8 13 3.83
8 14 5.4
8 15 3.69
8 16 5
8 17 4.73
8 18 4.18
9 1 5.27
9 2 5.09
9 3 5.73
9 4 5.27
9 5 5.43
9 6 5.77
9 7 5
9 8 5.84
9 9 6.05
9 10 5.67
9 11 5.18
9 12 5.59
9 13 5.4
9 14 5
9 15 5.05
9 16 5.82
9 17 6.05
9 18 5.36
10 1 5.24
10 2 5.62
10 3 5.67
10 4 4.9
10 5 5.52
10 6 5.47
10 7 4.48
10 8 5.06
10 9 5.62
10 10 5.33
10 11 4.81
10 12 5.15
10 13 4.33
10 14 4.8
10 15 4.4
10 16 6.1
10 17 5.5
10 18 4.45
11 1 6.37
