course score
1 5.63
2 4.28
3 5.04
4 4.94
5 4.54
6 5.17
7 5.23
8 4.19
9 5.47
10 5.15
11 6.15
12 5.21
13 5.13
14 5.16
15 5.31
16 5.82
17 6.41
18 5.77
19 6.43
20 6.58
21 6.35
22 6.12
23 6.11
24 5.89
25 5.43
26 6.46
27 6.58
28 5.16
29 5.96
30 5.67
31 5.21
32 5.92
33 5.38
34 6.03
35 6.01
36 6.56
37 5.8
38 5.08
39 5.58
40 6.31
41 6.06
42 5.78
43 5.99
44 6.06
45 5.95
46 6.25
47 6.15
48 5.7
49 6.87
50 6.87
51 6.92
52 4.78
53 4.81
54 4.67
55 4.92
56 4.68
57 4.86
58 4.66
59 4.83
60 4.8
61 4.36
62 6.03
63 5.9
64 6.17
65 6.02
66 6.19
67 5.49
68 5.76
69 5.67
70 5.31
71 5.52
72 5.5
73 5.43
74 5.68
75 5.71
76 5
77 5.28
78 5.51
79 6.21
80 5.97
81 6.42
