height weight IQ limbo
157 45 64 3
151 46 114 4
159 46 88 3
145 45 90 6
152 43 112 7
142 34 101 7
147 44 121 5
141 40 80 4
162 50 76 6
149 38 96 5
143 47 119 7
142 35 89 4
145 40 90 5
161 46 93 7
155 46 89 7
152 41 101 3
129 37 90 10
155 42 118 6
172 50 104 4
148 42 105 4
149 45 85 8
152 44 113 5
149 41 89 6
144 36 78 3
137 38 100 11
153 44 110 7
143 42 109 9
148 41 102 4
138 44 101 6
153 42 102 3
146 40 92 8
146 39 98 4
165 47 107 1
148 45 106 7
155 48 92 6
163 47 93 4
153 39 106 6
162 49 100 5
142 43 90 9
144 39 101 4
148 47 104 9
157 46 106 5
158 44 84 4
156 44 120 6
145 40 97 7
149 40 110 4
147 40 80 7
141 39 101 6
154 43 73 9
158 46 99 0
157 44 99 2
145 39 79 6
144 44 93 6
155 46 73 5
149 45 103 3
154 45 63 5
152 43 92 4
132 36 91 7
144 42 101 6
146 36 99 5
171 45 111 4
152 43 75 3
156 48 101 4
170 52 100 3
138 37 99 8
147 41 101 4
158 46 116 8
166 46 94 2
150 45 89 6
154 47 94 2
155 47 104 4
149 39 114 4
151 43 84 6
149 39 87 7
155 48 101 3
144 41 103 9
145 37 99 7
156 46 121 5
159 48 97 4
152 51 111 7
143 39 79 3
157 49 90 4
145 43 77 5
164 48 117 2
149 40 96 8
161 47 75 4
159 47 73 2
154 47 108 5
144 43 99 5
157 46 103 4
157 45 83 2
174 54 100 0
162 48 67 6
146 46 105 3
144 41 119 6
152 42 76 5
152 49 74 5
143 40 70 6
147 43 104 6
162 47 84 6
